No;DATE;PM10;MPM10;NO;MNO;NO2;MNO2;NOX;MNOX;GRAD;MGRAD;TempAir;MTEMP;HUMAIR;MHUM;FF;MFF;DD;MDD;RAIN;MRAIN;SCODE
37;06/02/2017;24.05;  ;9.19;  ;4.24;  ;8.91;  ;138.04;  ;28.64;  ;73.12;  ;2.05;  ;238.33;  ;0.01;  ;HIJPR
38;07/02/2017;43.5;  ;13.92;  ;7.35;  ;13.91;  ;116.91;  ;28.81;  ;73.29;  ;1.41;  ;243.56;  ;0.04;  ;HIJPR
39;08/02/2017;29.91;  ;12.45;  ;6.5;  ;12.46;  ;83.92;  ;28.54;  ;72.9;  ;1.64;  ;240.24;  ;0;  ;HIJPR
40;09/02/2017;38.11;  ;11.87;  ;5.94;  ;11.75;  ;62.21;  ;27.17;  ;80.39;  ;1.48;  ;240.78;  ;0.03;  ;HIJPR
41;10/02/2017;32.67;  ;15.46;  ;8.21;  ;15.53;  ;50.93;  ;26.85;  ;84.86;  ;1.19;  ;240.94;  ;0.23;  ;HIJPR
42;11/02/2017;35.32;  ;10.34;  ;9.87;  ;12.52;  ;44.68;  ;26.22;  ;88.27;  ;0.61;  ;242.42;  ;0.73;  ;HIJPR
43;12/02/2017;34.26;  ;6.17;  ;9.75;  ;9.35;  ;72.8;  ;26.79;  ;86.5;  ;0.81;  ;245.24;  ;0.49;  ;HIJPR
44;13/02/2017;36.84;  ;12.7;  ;13.22;  ;15.92;  ;142.3;  ;27.98;  ;81.12;  ;0.77;  ;220.73;  ;0.03;  ;HIJPR
45;14/02/2017;35.22;  ;12.84;  ;13.76;  ;16.28;  ;81.19;  ;26.86;  ;87.18;  ;0.62;  ;231.21;  ;1.2;  ;HIJPR
46;15/02/2017;21.18;  ;5.65;  ;7.84;  ;8.04;  ;162.49;  ;27.13;  ;83.47;  ;0.87;  ;247.03;  ;0.15;  ;HIJPR
47;16/02/2017;49.52;  ;13.53;  ;11.38;  ;15.64;  ;122.55;  ;27.26;  ;82.35;  ;0.82;  ;220.19;  ;0.21;  ;HIJPR
48;17/02/2017;51.73;  ;13.98;  ;13.39;  ;16.95;  ;118.45;  ;28.3;  ;80.05;  ;0.28;  ;207.26;  ;0.04;  ;HIJPR
49;18/02/2017;81.95;  ;15.27;  ;11.13;  ;16.82;  ;63.8;  ;28.44;  ;79.54;  ;0.44;  ;192.32;  ;0;  ;HIJPR
50;19/02/2017;63.89;  ;19.49;  ;9.31;  ;19.08;  ;23.91;  ;27.24;  ;90.31;  ;0.15;  ;126.44;  ;0.37;  ;HIJPR
51;20/02/2017;51.43;  ;19.04;  ;13;  ;20.54;  ;22.28;  ;26.48;  ;94.47;  ;0.32;  ;135.99;  ;0.89;  ;HIJPR
52;21/02/2017;41.65;  ;16.82;  ;14.05;  ;19.39;  ;86.7;  ;26.89;  ;84.2;  ;0.69;  ;213.64;  ;2.15;  ;HIJPR
53;22/02/2017;66.31;  ;15.98;  ;14.37;  ;18.92;  ;153.07;  ;28.55;  ;79.25;  ;0.61;  ;209.13;  ;0.14;  ;HIJPR
54;23/02/2017;56.08;  ;15.75;  ;18.34;  ;20.69;  ;171.16;  ;28.94;  ;75.24;  ;0.56;  ;160.6;  ;0.01;  ;HIJPR
55;24/02/2017;68.56;  ;18.77;  ;14.65;  ;21.14;  ;119.77;  ;28.94;  ;76.93;  ;0.53;  ;187.05;  ;0;  ;HIJPR
56;25/02/2017;45.2;  ;10.58;  ;14.15;  ;14.79;  ;120.66;  ;28.4;  ;77.21;  ;0.49;  ;220.1;  ;0.44;  ;HIJPR
57;26/02/2017;42.9;  ;11.39;  ;12.27;  ;14.47;  ;163.43;  ;28.61;  ;80.03;  ;0.25;  ;115.21;  ;0;  ;HIJPR
58;27/02/2017;39.12;  ;14.08;  ;14.71;  ;17.66;  ;91.1;  ;28.86;  ;75.83;  ;0.4;  ;219.57;  ;0.02;  ;HIJPR
59;28/02/2017;69.66;  ;13.64;  ;17.45;  ;18.68;  ;139.12;  ;29.09;  ;75.37;  ;0.55;  ;203.85;  ;0;  ;HIJPR
60;01/03/2017;47.58;  ;13.66;  ;8.37;  ;14.18;  ;93.04;  ;28.45;  ;76.69;  ;0.96;  ;237.03;  ;0.03;  ;HIJPR
61;02/03/2017;55.73;  ;18.75;  ;11.53;  ;19.61;  ;125.14;  ;28.44;  ;78.72;  ;0.38;  ;217.26;  ;0.87;  ;HIJPR
